county,query,lat,lon,display_name,source
2,POLJANA,45.8474060,16.4411653,"Poljana, Grad Vrbovec, Zagrebačka županija, 10340, Hrvatska",nominatim
2,POMNEROVAC,,,,nominatim
2,PREPUŠTOVEC,46.1042619,16.1842743,"Prepuštovec, Općina Budinšćina, Krapinsko-zagorska županija, Hrvatska",nominatim
2,PRIGORJE,46.1805003,15.7940169,"Prigorje, Općina Đurmanec, Krapinsko-zagorska županija, Hrvatska",nominatim
2,RATKOVEC,46.1181671,16.0847006,"Ratkovec, Grad Zlatar, Krapinsko-zagorska županija, Hrvatska",nominatim
2,SELNICA,46.0266777,16.0448657,"Selnica, Općina Marija Bistrica, Krapinsko-zagorska županija, Hrvatska",nominatim
2,SEMOVEC,46.3008848,16.4777174,"Šemovec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
2,SRAČINEC,46.3305272,16.2739507,"Sračinec, Općina Sračinec, Varaždinska županija, 42209, Hrvatska",nominatim
2,SV. MARTIN,45.9982709,16.5197248,"[via 'Sveti MARTIN'] Sveti Martin, Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
2,TABOR,46.2079223,15.7701762,"Tabor, D207, Lupinjak, Općina Hum na Sutli, Krapinsko-zagorska županija, 49231, Hrvatska",nominatim
2,TOPLICA,,,,nominatim
2,TRAKOŠĆAN,46.2589761,15.9482046,"Trakošćan, Općina Bednja, Varaždinska županija, Hrvatska",nominatim
2,TRNOVEC,46.2942784,16.3992728,"Trnovec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
2,VARAŽDIN,46.3079645,16.3378198,"Grad Varaždin, Varaždinska županija, Hrvatska",nominatim
2,VELIKI TABOR,46.1546586,15.6513664,"Veliki Tabor, 22005, Hum Košnički, Općina Desinić, Krapinsko-zagorska županija, 49216, Hrvatska",nominatim
2,VIDOVEC,46.2863481,16.2504203,"Općina Vidovec, Varaždinska županija, 42205, Hrvatska",nominatim
2,VINICA,46.3422862,16.1703246,"Vinica, Općina Vinica, Varaždinska županija, 42207, Hrvatska",nominatim
2,VINO,46.0892201,15.8539643,"Donje Vino, Općina Krapinske Toplice, Krapinsko-zagorska županija, Hrvatska",nominatim
2,VIČA SELA,46.0509367,15.8627553,"Viča Sela, Općina Krapinske Toplice, Krapinsko-zagorska županija, Hrvatska",nominatim
2,VRBOVEC,45.8856479,16.4181159,"Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
2,ZABOK,46.0326786,15.9124759,"Zabok, Grad Zabok, Krapinsko-zagorska županija, 49210, Hrvatska",nominatim
2,ZADROVEC,,,,nominatim
2,ZAJEZDA,46.1556766,16.1900984,"Zajezda, Općina Budinšćina, Krapinsko-zagorska županija, Hrvatska",nominatim
2,ZAMLAČA,46.2804754,16.2676717,"Zamlača, Općina Vidovec, Varaždinska županija, Hrvatska",nominatim
2,ZAVRŠJE,,,,nominatim
2,ZBELAVA,46.2817876,16.4037313,"Zbelava, Grad Varaždin, Varaždinska županija, Hrvatska",nominatim
2,ZLATAR,46.0926454,16.0770763,"Grad Zlatar, Krapinsko-zagorska županija, Hrvatska",nominatim
2,ZREPIČAR,,,,nominatim
2,ČALINEC,46.2890601,16.1806256,"Čalinec, Općina Maruševec, Varaždinska županija, Hrvatska",nominatim
2,ŠTEFANEC,46.3031360,16.4579003,"Štefanec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
2,ŠĆERBINEC,,,,nominatim
3,BARTOLOVEC,46.2970896,16.4351454,"Bartolovec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
3,DONJA BUKOVICA,45.6856551,17.8071027,"Donja Bukovica, Općina Nova Bukovica, Virovitičko-podravska županija, Hrvatska",nominatim
3,FODOROVEC,,,,nominatim
3,GORICA,46.2254584,16.7320479,"Gorica, Općina Rasinja, Koprivničko-križevačka županija, Hrvatska",nominatim
